content_id,qstats_count,qstats_answered_correctly,last_answer_is_correct
0,6903,0.9077212806026366,1
1,7398,0.8906461205731279,1
2,44905,0.554281260438704,1
3,22973,0.7794367300744353,0
4,31736,0.6132152760272246,1
5,9727,0.8618279017168705,1
6,56707,0.47454458885146455,0
7,16585,0.8660235152246005,1
8,8535,0.9066198008201524,1
9,47346,0.30391162928230475,0
10,31024,0.6839543579164518,0
11,6694,0.8869136540185241,1
12,20294,0.7598797674189416,1
13,8991,0.8872205538872205,1
14,15125,0.7996694214876033,1
15,20295,0.7056417836905642,1
16,5439,0.4256297113439971,0
17,8503,0.869810655062919,0
18,20966,0.8281026423733664,1
19,11127,0.8270872652107486,1
20,4723,0.9754393394029218,1
21,11307,0.7506854161139117,1
22,7589,0.8646725523784424,1
23,8312,0.7344802694898941,1
24,16921,0.6564032858578098,0
25,21307,0.7849063687989862,1
26,9024,0.8202570921985816,1
27,11348,0.6643461402890377,0
28,20585,0.6455671605538014,0
29,4959,0.49626940915507156,0
30,8355,0.8943147815679234,1
31,12324,0.8572703667640377,1
32,8820,0.8626984126984127,1
33,10653,0.7967708626677931,1
34,10443,0.6632193814038112,1
35,7831,0.8489337249393436,1
36,9255,0.9074014046461373,0
37,16832,0.8322243346007605,1
38,7944,0.9612286002014099,1
39,29776,0.5926249328318108,1
40,7439,0.8362683156338218,1
41,4609,0.9702755478411803,1
42,6240,0.9740384615384615,1
43,8622,0.9284388772906518,1
44,7529,0.9256209323947403,1
45,36674,0.6872171020341387,1
46,7425,0.9181144781144781,1
47,9809,0.7496176980324192,1
48,8237,0.833555906276557,0
49,2173,0.7100782328578003,1
50,21401,0.9183683005467034,1
51,24107,0.9297299539552827,1
52,31374,0.7899534646522598,1
53,10949,0.8418120376290072,1
54,9500,0.7113684210526315,0
55,40452,0.6018243844556511,0
56,23755,0.7188802357398443,1
57,7537,0.9046039538277829,1
58,36149,0.38172563556391603,0
59,14492,0.8541954181617444,0
60,12797,0.8103461748847386,1
61,18778,0.7614761955479816,0
62,19112,0.6710966931770616,0
63,14953,0.7385140105664415,1
64,35643,0.6800774345593805,0
65,22989,0.8734177215189873,1
66,6433,0.9375097155293021,1
67,8696,0.905933762649494,1
68,7117,0.9446395953351131,1
69,14057,0.49327737070498684,0
70,6537,0.9674162459843965,1
71,9017,0.811134523677498,1
72,15305,0.7436131983012088,0
73,7388,0.850568489442339,1
74,4345,0.26904487917146147,0
75,9091,0.8390716092839071,1
76,26165,0.5926619529906364,1
77,18388,0.6995323036763106,0
78,13109,0.8400335647265238,1
79,7051,0.913629272443625,1
80,6712,0.8261323003575686,1
81,5089,0.8335625859697386,1
82,2801,0.7622277757943592,1
